text,page_number,book,chapter
    This is a reproduction of a library book that was digitized  by Google as part of an ongoing effort to preserve the  information in books and make it universally accessible.    Google books    https://books.google.com    ,0,,
    ,1,,
                             ae  a IVEIURIE    as |    Sig              HARVARD  COLLEGE  LIBRARY,2,,
    44,3,,
,4,,
,5,,
    Digitized by Google,6,,
"    THE HISTORY    OF THE    MOHAMMEDAN DYNASTIES IN SPAIN;    EXTRACTED FROM THE    NAFHU-T-TIB MIN GHOSNI-L-ANDALUSI-R-RATTIB WA TARIKH LISANU-D-DIN  IBNI-L-KHATTIB,    BY AHMED IBN MOHAMMED AL-MAKKARI,    A NATIVE OF TELEMSAN.    TRANSLATED FROM THE COPIES IN THE LIBRARY OF THE BRITISH MUSEUM,  AND    ILLUSTRATED WITH CRITICAL NOTES ON THE HISTORY, GEOGRAPHY, AND ANTIQUITIES OF SPAIN,    BY PASCUAL DE GAYANGOS,    MEMBRR OF THE ORIENTAL TRANSLATION COMMITTEF, ‘AND LATE PROFESSOR OF ARABIC IN THE  ATHENAUM OF MADRID.    IN TWO VOLUMES.  VOL. I.         ia  “ LONDON:    PRINTED FOR THE ORIENTAL TRANSLATION FUND  OF GREAT BRITAIN AND IRELAND.    SOLD BY W. H. ALLEN AND CO., LEADENHALL STREET; AND M. DUPRAT, PARIS.         M.DCCC.XL.",7,,
"    Span 267-5 0),         LONDON =  Ww. HUGHES, KING’s HEAD COURT, GOUGH S    QUARE.",8,,
"    TO    THE RIGHT HONOURABLE SIR GORE OUSELEY, BART.,    VICE-PRESIDENT R.A.S., F.R.S., &c. &c.    This Work    IS RESPECTFULLY INSCRIBED    BY HIS MOST OBEDIENT AND HUMBLE SERVANT,    THE TRANSLATOR.    VOL, 1. b",9,,
    Digitized by Google,10,,
"    THE TRANSLATOR’S PREFACE.    Tue conquests and settlements of the Arabs in the south of Europe may be ranked among  the events best calculated to engage our curiosity and attention. The followers of Mo-  hammed, whether considered as the enthusiastic warriors whose victorious arms spread terror  and consternation over our continent, or as the cultivated race who led the way for us  in the career of letters and civilisation, are certainly entitled to a prominent place in the  annals of modern Europe. That part of their history especially which relates to the occupa-  tion of the Spanish Peninsula merits a careful investigation. It was from Spain that issued  those dreaded expeditions which threatened more than once the liberties of Europe; in Spain  shone the first rays of that civilisation which subsequently illumined the whole of the  Christian world; in the Arab schools of Cordova and Toledo were gathered, and carefully  preserved for us, the dying embers of Greek learning; and it is to Arab sagacity and  industry that we owe the discovery or dissemination of many of the most useful and  important modern inventions.   However palpable and undeniable these facts may now appear, it was long before men of  letters in Europe could be brought to admit them; and the Arabs, instead of being com-  mended to the gratitude of modern ages, as they assuredly deserved to be, have been often  charged with corrupting the infancy of modern literature. In no country of Europe, perhaps,  were the pernicious effects of this unjust accusation so sensibly felt as in Spain, once the  seat of their glory, and the country which participated most largely in the benefits of their  civilisation, Mariana, and the best Spanish historians, actuated either by violent national  hatred, or by a spirit of religious bigotry, have always manifested the greatest contempt  for the writings of the Arabs, whom they frequently stigmatize as “a ruthless warlike  “nation, hostile to science and polite literature.” Rejecting the means of research af-  forded them by the abundant historical records of the Arabs, as well as the advantages —",11,,
