Text,Book,Chapter,text,lower,tokenized_sents
" Etymology of the name of Andalue—Climate—Geographical Divisions—Dimensions of the Country—  Shape—Ancient divisions—First settlere—Vandals—A fricans—Romans—lIshbin, son of Titus—Bisht-  ilikit—Goths—Iskhander.",book_1,chapter_1,True," etymology of the name of andalue—climate—geographical divisions—dimensions of the country—  shape—ancient divisions—first settlere—vandals—a fricans—romans—lishbin, son of titus—bisht-  ilikit—goths—iskhander.","[' etymology of the name of andalue—climate—geographical divisions—dimensions of the country—  shape—ancient divisions—first settlere—vandals—a fricans—romans—lishbin, son of titus—bisht-  ilikit—goths—iskhander.']"
" In the name of God, whose assistance we humbly beseech and implore, we shall  begin by describing the Island of Andalus,—a country whose excellences are so  numerous, and of such a kind, that they cannot easily be contained within the limits  of abook, and that no words can be found sufficiently strong to give an idea of  them. For our part, we consider Andalus as the prize of the race won by the  horsemen who, at the utmost speed of their chargers, subdued the regions of the",book_1,chapter_1,True," in the name of god, whose assistance we humbly beseech and implore, we shall  begin by describing the island of andalus,—a country whose excellences are so  numerous, and of such a kind, that they cannot easily be contained within the limits  of abook, and that no words can be found sufficiently strong to give an idea of  them. for our part, we consider andalus as the prize of the race won by the  horsemen who, at the utmost speed of their chargers, subdued the regions of the","[' in the name of god, whose assistance we humbly beseech and implore, we shall  begin by describing the island of andalus,—a country whose excellences are so  numerous, and of such a kind, that they cannot easily be contained within the limits  of abook, and that no words can be found sufficiently strong to give an idea of  them.', 'for our part, we consider andalus as the prize of the race won by the  horsemen who, at the utmost speed of their chargers, subdued the regions of the']"
"Respecting the etymology of its name different opinions prevail ; some authors, Etymology of  like Ibnu Sa’id,' derive it from Andalus, son of Tubal, son of Yafeth, son of Nuh, « Andalus.”  who settled in it, and gave it his name, in like manner as his brother Sebt, son  of Yafeth, peopled the opposite land, and gave his name to the city of Sebtah  (Ceuta). Ibnu Ghélib? follows the same opinion, but makes Andalus to be the son  of Y4feth. Ibnu Hayyén,? Ibnu Khaldin,* and others, derive it from Andalosh,®  a nation of barbarians who settled there. This latter opinion seems the most  probable ; but God is all-knowing.",book_1,chapter_1,True,"respecting the etymology of its name different opinions prevail ; some authors, etymology of  like ibnu sa’id,' derive it from andalus, son of tubal, son of yafeth, son of nuh, « andalus.”  who settled in it, and gave it his name, in like manner as his brother sebt, son  of yafeth, peopled the opposite land, and gave his name to the city of sebtah  (ceuta). ibnu ghélib? follows the same opinion, but makes andalus to be the son  of y4feth. ibnu hayyén,? ibnu khaldin,* and others, derive it from andalosh,®  a nation of barbarians who settled there. this latter opinion seems the most  probable ; but god is all-knowing.","[""respecting the etymology of its name different opinions prevail ; some authors, etymology of  like ibnu sa’id,' derive it from andalus, son of tubal, son of yafeth, son of nuh, « andalus.”  who settled in it, and gave it his name, in like manner as his brother sebt, son  of yafeth, peopled the opposite land, and gave his name to the city of sebtah  (ceuta)."", 'ibnu ghélib?', 'follows the same opinion, but makes andalus to be the son  of y4feth.', 'ibnu hayyén,?', 'ibnu khaldin,* and others, derive it from andalosh,®  a nation of barbarians who settled there.', 'this latter opinion seems the most  probable ; but god is all-knowing.']"
"The country of Andalus (may God restore it entire to the Moslems !) has been Cimate.  described both by native and foreign writers in the most pompous terms. The  Wizir Lisénu-d-din® Ibnu-l-khattib, (may God show him mercy!) in one of his  historical works, says as follows: ‘‘ God Almighty has distinguished this our  “country by endowing it with gentle hills and fertile plains, sweet and wholesome",book_1,chapter_1,True,"the country of andalus (may god restore it entire to the moslems !) has been cimate.  described both by native and foreign writers in the most pompous terms. the  wizir lisénu-d-din® ibnu-l-khattib, (may god show him mercy!) in one of his  historical works, says as follows: ‘‘ god almighty has distinguished this our  “country by endowing it with gentle hills and fertile plains, sweet and wholesome","['the country of andalus (may god restore it entire to the moslems !)', 'has been cimate.', 'described both by native and foreign writers in the most pompous terms.', 'the  wizir lisénu-d-din® ibnu-l-khattib, (may god show him mercy!)', 'in one of his  historical works, says as follows: ‘‘ god almighty has distinguished this our  “country by endowing it with gentle hills and fertile plains, sweet and wholesome']"
" “ food, a great number of useful animals, plenty of fruits, abundance of waters,  “comfortable dwellings, good clothing, beautiful vases, and utensils of every  “* description ; fine weapons, a pure and wholesome air, a slow succession of the  ‘* seasons of the year. He has also endowed its inhabitants with great aptitude for  “« the sciences and the arts of domestic life ; acuteness of mind, quickness of intel-  “ lect ; courage, ardent love of every thing which is noble, and many other brilliant  “« qualities, which are not to be found united in people of any other country.”",book_1,chapter_1,True," “ food, a great number of useful animals, plenty of fruits, abundance of waters,  “comfortable dwellings, good clothing, beautiful vases, and utensils of every  “* description ; fine weapons, a pure and wholesome air, a slow succession of the  ‘* seasons of the year. he has also endowed its inhabitants with great aptitude for  “« the sciences and the arts of domestic life ; acuteness of mind, quickness of intel-  “ lect ; courage, ardent love of every thing which is noble, and many other brilliant  “« qualities, which are not to be found united in people of any other country.”","[' “ food, a great number of useful animals, plenty of fruits, abundance of waters,  “comfortable dwellings, good clothing, beautiful vases, and utensils of every  “* description ; fine weapons, a pure and wholesome air, a slow succession of the  ‘* seasons of the year.', 'he has also endowed its inhabitants with great aptitude for  “« the sciences and the arts of domestic life ; acuteness of mind, quickness of intel-  “ lect ; courage, ardent love of every thing which is noble, and many other brilliant  “« qualities, which are not to be found united in people of any other country.”']"
"Abt ’Obeyd-illah Al-bekri Al-andalusi? compares his native country to Shém  (Syria) for purity of air and sweetness of waters, to Yemen for mildness of tempera-  ture, which is every where the same, to Hind (India) for drugs and aromatic plants,  to Al-ahwéz® for the magnitude of its snakes, to China for mines and precious  stones, to ’Aden for the number and security of its coasts and harbours.",book_1,chapter_1,True,"abt ’obeyd-illah al-bekri al-andalusi? compares his native country to shém  (syria) for purity of air and sweetness of waters, to yemen for mildness of tempera-  ture, which is every where the same, to hind (india) for drugs and aromatic plants,  to al-ahwéz® for the magnitude of its snakes, to china for mines and precious  stones, to ’aden for the number and security of its coasts and harbours.","['abt ’obeyd-illah al-bekri al-andalusi?', 'compares his native country to shém  (syria) for purity of air and sweetness of waters, to yemen for mildness of tempera-  ture, which is every where the same, to hind (india) for drugs and aromatic plants,  to al-ahwéz® for the magnitude of its snakes, to china for mines and precious  stones, to ’aden for the number and security of its coasts and harbours.']"
"Abi ’A’mir As-salémi,® in his work entitled ‘ Durru-I-kildyid wa ghurruru-l-  fawdyid, (pearls of the necklaces, and stars of useful things,) says that Andalus  belongs to the climate of Sham (Syria) ; that which, of all those into which the  earth is divided, is reckoned the best and most temperate, which has the finest land  and waters, and which abounds most in animals, fruits, and productions of all kinds :  “ that climate,” he adds, ‘‘ occupies a middle place among the other climates, and  ‘is therefore considered the best, it being well known that the most preferable  “« portion of any thing is that which is in the middle.”",book_1,chapter_1,True,"abi ’a’mir as-salémi,® in his work entitled ‘ durru-i-kildyid wa ghurruru-l-  fawdyid, (pearls of the necklaces, and stars of useful things,) says that andalus  belongs to the climate of sham (syria) ; that which, of all those into which the  earth is divided, is reckoned the best and most temperate, which has the finest land  and waters, and which abounds most in animals, fruits, and productions of all kinds :  “ that climate,” he adds, ‘‘ occupies a middle place among the other climates, and  ‘is therefore considered the best, it being well known that the most preferable  “« portion of any thing is that which is in the middle.”","['abi ’a’mir as-salémi,® in his work entitled ‘ durru-i-kildyid wa ghurruru-l-  fawdyid, (pearls of the necklaces, and stars of useful things,) says that andalus  belongs to the climate of sham (syria) ; that which, of all those into which the  earth is divided, is reckoned the best and most temperate, which has the finest land  and waters, and which abounds most in animals, fruits, and productions of all kinds :  “ that climate,” he adds, ‘‘ occupies a middle place among the other climates, and  ‘is therefore considered the best, it being well known that the most preferable  “« portion of any thing is that which is in the middle.”']"
"The Sheikh Ahmed Ibn Mohammed Ibn Misa Ar-rézi!® says that Andalus  is situated at the extremity of the fourth climate towards the West, and that  all learned authors agree in describing it as a country with delightful valleys,  and fertile lands, rich in all sorts of agricultural productions, watered by many  large rivers, and abounding in springs of the sweetest waters. It contains but  few wild beasts, or venomous reptiles ; the air in winter is mild, and the coolest  breezes temper the heat of summer. The climate is so temperate all the year  round as to make the transition from one season to another almost imperceptible ;  in fact, it may be said that a perpetual spring reigns all over Andalus, this  being the reason why most of the fruits of earth grow in all seasons, and the  crops succeed one another without interruption ; owing, too, to the different  qualities of the soil, the same produce may be obtained all the year round in  various provinces of Andalus ; as, for instance, on the coast and the lands adjoining  to it all fruits of the earth are very forward, while in the Thagher™ and its  districts, and especially on the mountains, where the air is colder, they are, on  the contrary, very backward. Most of its fruits, also, partake of a flavour and  beauty which are not common to those of other countries.’?",book_1,chapter_1,True,"the sheikh ahmed ibn mohammed ibn misa ar-rézi!® says that andalus  is situated at the extremity of the fourth climate towards the west, and that  all learned authors agree in describing it as a country with delightful valleys,  and fertile lands, rich in all sorts of agricultural productions, watered by many  large rivers, and abounding in springs of the sweetest waters. it contains but  few wild beasts, or venomous reptiles ; the air in winter is mild, and the coolest  breezes temper the heat of summer. the climate is so temperate all the year  round as to make the transition from one season to another almost imperceptible ;  in fact, it may be said that a perpetual spring reigns all over andalus, this  being the reason why most of the fruits of earth grow in all seasons, and the  crops succeed one another without interruption ; owing, too, to the different  qualities of the soil, the same produce may be obtained all the year round in  various provinces of andalus ; as, for instance, on the coast and the lands adjoining  to it all fruits of the earth are very forward, while in the thagher™ and its  districts, and especially on the mountains, where the air is colder, they are, on  the contrary, very backward. most of its fruits, also, partake of a flavour and  beauty which are not common to those of other countries.’?","['the sheikh ahmed ibn mohammed ibn misa ar-rézi!® says that andalus  is situated at the extremity of the fourth climate towards the west, and that  all learned authors agree in describing it as a country with delightful valleys,  and fertile lands, rich in all sorts of agricultural productions, watered by many  large rivers, and abounding in springs of the sweetest waters.', 'it contains but  few wild beasts, or venomous reptiles ; the air in winter is mild, and the coolest  breezes temper the heat of summer.', 'the climate is so temperate all the year  round as to make the transition from one season to another almost imperceptible ;  in fact, it may be said that a perpetual spring reigns all over andalus, this  being the reason why most of the fruits of earth grow in all seasons, and the  crops succeed one another without interruption ; owing, too, to the different  qualities of the soil, the same produce may be obtained all the year round in  various provinces of andalus ; as, for instance, on the coast and the lands adjoining  to it all fruits of the earth are very forward, while in the thagher™ and its  districts, and especially on the mountains, where the air is colder, they are, on  the contrary, very backward.', 'most of its fruits, also, partake of a flavour and  beauty which are not common to those of other countries.’?']"
That Andalus is situate in the fourth climate appears sufficiently demonstrated,book_1,chapter_1,True,that andalus is situate in the fourth climate appears sufficiently demonstrated,['that andalus is situate in the fourth climate appears sufficiently demonstrated']
" by the words of the geographer Idrisi, as quoted by Ibnu Sa’id: ‘‘ Andalus,”  says that author, ‘‘has no portion of its territory within the third climate, but  “the fourth passes by its southern coast, and includes Cordova, Seville, Murcia,  “and Valencia; thence it goes towards Sicily, encloses this and other islands in  “the neighbourhood, leaving the sun at the back. The fifth passes by Toleytoleh  “ Toledo), Sarakostah (Saragossa) and the environs; then by Arghon’* (Aragon),  “at the southern extremity of which is the city of Barshelénah (Barcelona), thence  “it proceeds to Rome and the country subject to that city, divides the Bahru-l-  “ Banddikeh (Gulf of Venice) into two parts, and comprises Costantiniyeh the  “ great (Constantinople) and its territory, leaving behind the planet called  “ Az-zahrah (Venus). The sixth passes by the northern coast of Andalus,  “that which is washed by the waters of the circumambient sea, includes part of  “ Castile* and Portugal,'® a great portion of the country of the Franks, Georgia,  “and the country of the Sclavonians and Russians, leaving behind the planet  “called ’Ottdrid (Mercury). The seventh comprises the circumambient sea to  “the north of Andalus, the island called Alinkilterrah'® (England) and others  “in the neighbourhood, as well as the remainder of the countries of the Franks  “and Sclavonians, Georgia, and Berjén.'""""—According to Al-beyhaki'® the island  “ of Tili,’® and the two islands of Al-ajbél? (Norway) and An-nisé”! (Amazones)  “and several other districts of Russia, fall within the limits of this seventh and  “ last climate, which has the moon at its back.”",book_1,chapter_1,True," by the words of the geographer idrisi, as quoted by ibnu sa’id: ‘‘ andalus,”  says that author, ‘‘has no portion of its territory within the third climate, but  “the fourth passes by its southern coast, and includes cordova, seville, murcia,  “and valencia; thence it goes towards sicily, encloses this and other islands in  “the neighbourhood, leaving the sun at the back. the fifth passes by toleytoleh  “ toledo), sarakostah (saragossa) and the environs; then by arghon’* (aragon),  “at the southern extremity of which is the city of barshelénah (barcelona), thence  “it proceeds to rome and the country subject to that city, divides the bahru-l-  “ banddikeh (gulf of venice) into two parts, and comprises costantiniyeh the  “ great (constantinople) and its territory, leaving behind the planet called  “ az-zahrah (venus). the sixth passes by the northern coast of andalus,  “that which is washed by the waters of the circumambient sea, includes part of  “ castile* and portugal,'® a great portion of the country of the franks, georgia,  “and the country of the sclavonians and russians, leaving behind the planet  “called ’ottdrid (mercury). the seventh comprises the circumambient sea to  “the north of andalus, the island called alinkilterrah'® (england) and others  “in the neighbourhood, as well as the remainder of the countries of the franks  “and sclavonians, georgia, and berjén.'""""—according to al-beyhaki'® the island  “ of tili,’® and the two islands of al-ajbél? (norway) and an-nisé”! (amazones)  “and several other districts of russia, fall within the limits of this seventh and  “ last climate, which has the moon at its back.”","[' by the words of the geographer idrisi, as quoted by ibnu sa’id: ‘‘ andalus,”  says that author, ‘‘has no portion of its territory within the third climate, but  “the fourth passes by its southern coast, and includes cordova, seville, murcia,  “and valencia; thence it goes towards sicily, encloses this and other islands in  “the neighbourhood, leaving the sun at the back.', 'the fifth passes by toleytoleh  “ toledo), sarakostah (saragossa) and the environs; then by arghon’* (aragon),  “at the southern extremity of which is the city of barshelénah (barcelona), thence  “it proceeds to rome and the country subject to that city, divides the bahru-l-  “ banddikeh (gulf of venice) into two parts, and comprises costantiniyeh the  “ great (constantinople) and its territory, leaving behind the planet called  “ az-zahrah (venus).', ""the sixth passes by the northern coast of andalus,  “that which is washed by the waters of the circumambient sea, includes part of  “ castile* and portugal,'® a great portion of the country of the franks, georgia,  “and the country of the sclavonians and russians, leaving behind the planet  “called ’ottdrid (mercury)."", ""the seventh comprises the circumambient sea to  “the north of andalus, the island called alinkilterrah'® (england) and others  “in the neighbourhood, as well as the remainder of the countries of the franks  “and sclavonians, georgia, and berjén."", '\'""""—according to al-beyhaki\'® the island  “ of tili,’® and the two islands of al-ajbél?', '(norway) and an-nisé”!', '(amazones)  “and several other districts of russia, fall within the limits of this seventh and  “ last climate, which has the moon at its back.”']"
