text,page_number,book,chapter
    This is a reproduction of a library book that was digitized  by Google as part of an ongoing effort to preserve the  information in books and make it universally accessible.    Google books    https://books.google.com    ,0,,
    <36604749920015         <36604749920015    Bayer. Staatsbibliothek,1,,
,2,,
    THE HISTORY    OF THE    MOHAMMEDAN DYNASTIES IN SPAIN.    VOL. II.,3,,
"         LONDON:  W. HUGHES, KING'S HEAD COURT, GOUGH SQUARE.         ",4,,
"                                             i Swf (~8aX -  NY La Oalatie  FON, Zo h Oslin  ee See NG  fa? ‘ OL” : INSTITUTED 1828. ea  UNDER THE PATRONAGE OF HIS MOST GRACIOUS MAJESTY  WILLIAM THE FOURTH.    ——                             ==.                     “  “a    4  La    i  ""f         THIS COPY    THE ROYAL LIBRARY,  MUNICH.    Wy AU'y 7  — \ aa    SQ              Digitized by Goog le",5,,
"    BIBLIOTHEC,  REGIA    MON\CP N STS]  a                 ",6,,
"    THE HISTORY    OF THE    MOHAMMEDAN DYNASTIES IN SPAIN;    EXTRACTED FROM THE    NAFHU-T-TIB MIN GHOSNI-L-ANDALUSI-R-RATTIB WA TARIKH LISANU-D-DIN  IBNI-L-KHATTIB,    BY AHMED IBN MOHAMMED AL-MAKKARI,    A NATIVE OF TELEMSAN.    TRANSLATED FROM THE COPIES IN THE LIBRARY OF THE BRITISH MUSEUM,  ba * AND    ILLUSTRATED WITH CRITICAL NOTES ON THE HISTORY, GEOGRAPHY, AND ANTIQUITIES OF SPAIN,    BY PASCUAL DE GAYANGOS,    MEMBER OF THE ORIENTAL TRANSLATION COMMITTEE, AND LATE PROFESSOR OF ARABIC IN THE  ATHENAUM OF MADRID.    IN TWO VOLUMES.  VOL. II.         LONDON:    PRINTED FOR THE ORIENTAL TRANSLATION FUND  OF GREAT BRITAIN AND IRELAND.    SOLD BY W. H. ALLEN AND CO,, LEADENHALL STREET; AND M. DUPRAT, PARIS.         M.DCCC.XLIII.",7,,
    4 Ave. Pe    F  fier.,8,,
"    CONTENTS.    BOOK V.  CHAP. I.    As'héb (companions)—Tdbi’s (followers)—Al-muneydhir—Hansh—Ibn Rabéh—’Abdullah Ibn  Yezid—Hayyén—Al-mugheyrah—Hayét Ibn Rejé—Iyadh Ibn ’Okbah—Spoils found at the time  of the conquest—Misappropriated by the conquerors—Zoreyk—Zeyd Ibn K4&ssed—Abd Zor’ah—  Mohammed Ibn Aus—’Abdu-r-rahmén Ibn Shamfsah—Bekr Ibn Sawfdah—’Abdullah Ibnu-l-  mugheyrah—Manetr Ibn Khozémah—Abi-1-hasan Ibn ’Othmén    x CHAP. II.    T4rik—The sons of Wittiza—Mugheyth Ar-rim{—His adventure with a Gothic princess—Goes  to the East—Returns to Andalus, and settles therein—Ayiib Ibn Habib—’Abdu-l-jabbér Ibn Abi  Salmah—’Abdullah Ibn Sa’id—Habib Ibn Abi ’Obeydah—Haywah Ibn Mulébis—’Othmén Ibn  Abj ’Abdah—’Abt-s-sabéh Al-yahssobi—Abd Zor’ah Ash-shémi—Zeyéd Ibn An-n4bighah    CHAP. III.   Arabian tribes settling in Andaluaa—’Apna’n—Ben{ Hashim—Beni Umeyyah —Makhziim—Fehr  —Kenénah—Hudheyl—Teym—Dhobbah—Kays ’Aylan—Thakif—Rabi’ah —Ayéd—Kantra'n—  Arabs of Yemen—Hostile to the Beni Modhar—Azd—Ansér—K hazrej—Aus —Ghafek—Hamdén—  Mad’haj —Tayy—Moréd—’ Ans—Barrah—’ A'milah —Khaulén—Ma éfer —Lakhm—Jodhém—Kin-  dah—Tojib—Khatha’m—The sons of Himyar—Dhi-ro’ayn—Dhiti-assbah —Y ahssob—Hawizen—  Kodh&’ah—Huseyn—K elb— Hadhra-maut—Salmén    CHAP. IV.    ’Abdu-l-’aziz left as governor of Andalus—Marries Roderic’s widow—lIs put to death—Succeeded  by Ayib—Al-horr—As-samh appointed—Is killed in battle—Succeeded by ’Abdu-r-rahm4n Al-  ghafeki—Appointment of ’Anbasah—Rising of Pelayo—Death of ’Anbasah—’Odhrah is appointed  by the army—Replaced by Yahya Ibn Salmah—Arrival of Hodheyfah—’Okbah appointed by the  ‘Wali of Africa—Invades the country of the Franks—Is succeeded by ’Abdu-l-malek    CHAP. V.    General rising of the Berbers in Africa—Kolthim is sent against them—Is defeated and replaced °    by Hondhalah—The Berbers of Andalus rise against the Arabs—They defeat ’Abdu-l-malek—The  VOL. II. b    PAGE    13    20    30",9,,
"    vi CONTENTS.    Syrians under Balj come to his assistance—They revolt against him—They take him prisoner—Put  him to death—The sons of ’Abdu-l-malek march against Balj—Balj is killed in the engagement—  The Syrians appoint Tha’lebah—Their wars with the Berbers—Arrival of Abu-l-khattér—lIs defeated,  and taken prisoner—Makes his escape—Thudbah’s nomination confirmed by the Wali of Africa—  Battle of Shekundah—Death of Abii-l-khattaér—The grandsons of Wittiza—Yusiif Al-fehri is  appointed by the army—Several chiefs resist his authority—He defeats them in succession—Chro-  nology of the governors of Andalus    BOOK VI.    CHAP. I.    Overthrow of the dynasty of Umeyyah—Death of Merw4n, their last Khalif—’Abdu-r-rahmén  Ibn Mu’éwiyah takes to flight—Is pursued by the emissaries of As-sefféh—Arrives in Eastern  Africa—Evades the search of the governor—Wanders through the country—Sends his freedman  Bedr to Andalus—A party is formed in his favour—The conspirators communicate their plans to  As-samil—Answer made by that chieftain—The tribes of Modhar and Rabi’ah refuse to join them—  ’Abdu-r-rahmén’s party is daily strengthened—He embarks for Andalus—Lands at Almuiecar—  Preparations of Yiisuf—Desertions in his camp—’Abdu-r-rahm4n marches to Cordova—Gains the  battle of Musérah—Enters the capital—Starts in pursuit of Yiisuf—Obliges him to capitulate    CHAP. II.    *Abdu-r-rahmén invites the Beni Umeyyah to settle in Andalus—Names of those who left the  East—Rebellion of Yuisuf—His defeat and death—As-samfl poisoned by ’Abdu-r-rahman’s order—  Ibn Mughith invades Andalus—Is defeated and put to death—Rebellion of the Yemenites—Heroic  act of ’Abdu-l-malek—Conspiracy against ’Abdu-r-rahm4n discovered—Execution of his nephew  Al-mugheyrah—’Abdu-r-rahmfn prepares to invade Syria—Rebellion of the Fatemi—of Hayyat  Ibn Mulébis—of Al-huseyn Ibn Yahya, governor of Saragossa—of Hasan Ibn ’Abdi-l-’aziz—  *Abdu-r-rahmén takes Berbers into his pay—Success of the Christians—Charlemagne asks for  peace—Building of the Rissifah—of the great mosque—Character of ’Abdu-r-rahmén—His liberality  —His wit and eloquence—His ingratitude towards Bedr, Abu ’Othmén, Khiled, and Temém—  HAjibs of ’Abdu-r-rahmén—Councillors—K 4tibs—K4dis—Death of ’Abdu-r-rahman    CHAP. III.    Accession of Hishém—His interview with an astrologer—His justice—Liberality—Wise adminis-  tration—Rebellion of Suleymén—Taking of Narbonne—Wars with the infidels—Expedition to  Galicia—To Alava—Rebuilding of the bridge of Cordova—Several Theologians leave Spain for the  East—They meet Mélik Ibn Ans—Death of Hishém—Al-hakem ascends the throne—His uncles  rebel against him—Taking of Barcelona by the Franks—Wars with the Galicians—Revolt at  Cordova—Exemplary chastisement of the rebels—Death of Suleymén—Wars with the Christians  —Defeat of the Franks—of the Galicians—Dreadful famine —Death of Al-hakem—His government  — Respect for the learned    PAGE    40    58    74    95",10,,
